index,residual,influ,b_nbaths,b_nbeds,b_area,b_age,se_nbaths,se_nbeds,se_area,se_age
5.900000000000000000e+01,-1.385932679918849431e+01,1.270018382705608885e-02,2.841770799377124845e+01,2.488036141743275920e+00,5.665002796702775512e-02,-5.128297697048275205e-01,3.598519868840048541e-02,1.374874984130347588e-02,5.600626514946595203e-08,1.215433499012210225e-05
6.000000000000000000e+01,8.989671850577857981e+01,1.396143703163997725e-02,3.561722101139851304e+01,-4.974691795823989082e+01,1.658736406488688364e-01,-9.760521115962073058e-01,2.718855147101588085e-02,1.586939860351744419e-02,2.203764127822025673e-08,1.957271667143717979e-05
6.100000000000000000e+01,2.495483506761036097e+01,3.078452109913796392e-02,1.766527986064203759e+01,-1.247130728396794730e-01,4.976012256241580528e-02,-1.486606004947436110e-01,4.548804741630509824e-02,1.691721379599985323e-02,6.472797511985915661e-08,1.188788455754903736e-05
6.200000000000000000e+01,-1.253658091314899536e+01,2.996248021316097465e-02,2.133050996430238655e+00,-3.870088408197053909e+00,1.284948604641023562e-01,-1.113429900022831598e+00,3.192236945647020097e-02,1.406943800031344553e-02,3.437966636512883181e-08,1.525562535200526659e-05
6.300000000000000000e+01,6.128977347045825752e+01,1.063022416264247788e-01,2.961133989909461306e+01,-4.456187623984044421e+01,2.081342575840883224e-01,-1.706626760898440676e+00,4.019100572265316834e-02,1.776609625848609569e-02,8.326069413937909475e-08,9.755248234275788481e-06
6.400000000000000000e+01,-1.066283135414775529e+01,6.976135392379345657e-02,4.795353935404910573e+01,-1.789098720363893236e+01,9.263477714460825740e-02,-4.934031129528484994e-01,2.022988914146934408e-02,1.977274723314675561e-02,4.233333219108583450e-08,8.067728602744973158e-06
6.500000000000000000e+01,-1.011908171704733661e+01,3.652002881551637270e-02,6.078877460627877483e+00,-9.823977170355805200e+00,1.253748430072003650e-01,-6.659196473881954237e-01,3.487924206611568018e-02,1.614524342429702469e-02,3.007193890778314911e-08,1.600846937429661844e-05
6.600000000000000000e+01,-1.324157499700901042e+01,2.474066677042103396e-02,2.620388986446882384e+01,-1.839394998521559899e+01,1.232091355580272746e-01,-5.783497781638149426e-01,2.075018533849514596e-02,1.608935509466232622e-02,2.556768211707788552e-08,9.070963431680425024e-06
6.700000000000000000e+01,2.587039738450787496e+00,3.301168346483846633e-02,2.155322306697325274e+01,-3.555602326083842257e+01,1.946886072563348280e-01,-1.583040058793878435e+00,2.264684226229540798e-02,1.452237647473451562e-02,3.738883773925093870e-08,7.620841521200153150e-06
6.800000000000000000e+01,-8.339654938738948431e+01,2.402769235111992460e-02,3.720336351789438822e+01,-5.928211475299580258e+01,1.836747696450983236e-01,-7.922402749405708100e-01,2.713455625881103575e-02,2.001375496206357282e-02,4.119828542875848682e-08,8.845309985531076897e-06
6.900000000000000000e+01,1.856007951923780297e+01,2.887922790407499232e-02,4.673013150589012810e+01,-9.467819007554322042e+00,8.270939791285407405e-02,-5.214662496273249070e-01,2.306609488953652656e-02,2.164535362176048250e-02,4.724532379922730530e-08,8.383311574677946229e-06
7.000000000000000000e+01,-1.229368207868836294e+01,5.870257891349410506e-02,6.147328795472812857e+00,-5.572324740995014736e+00,1.248834918454196780e-01,-1.092093737421895527e+00,3.148791543141002403e-02,1.315357696984242354e-02,3.678600515644243347e-08,1.517024034574830211e-05
7.100000000000000000e+01,9.763712428532096510e+01,7.106502477024750908e-02,2.649255638085758591e+01,-4.537456509945303651e+01,2.105728020888421315e-01,-1.669877807305756079e+00,4.300547186688324919e-02,1.863174625583018801e-02,8.714167445377889191e-08,1.061918399982308477e-05
7.200000000000000000e+01,5.272388306296667793e+01,2.638122685558751124e-02,4.982779228917134162e+01,-2.123131985482211093e+01,9.609004939899054576e-02,-4.667714704371230261e-01,1.996514365042516975e-02,1.904551726017566365e-02,4.101614020968887554e-08,7.734301822431353908e-06
7.300000000000000000e+01,1.206816173584459762e+01,2.757928973750125787e-02,8.473138427099215164e+00,-8.965676463044696121e+00,1.266902499903138635e-01,-1.046721380738039775e+00,3.475168232704537591e-02,1.420455083808243313e-02,4.242424063187002212e-08,1.793313105176108660e-05
7.400000000000000000e+01,-7.840669357333956668e+01,6.230692192392881662e-02,3.239489500499070118e+01,-4.474980314060047704e+01,1.618180947005578019e-01,-1.021449340195824007e+00,2.847079079706672788e-02,1.676154990963309166e-02,2.555926881064487192e-08,1.998053015965536823e-05
7.500000000000000000e+01,-1.161205820709005820e+01,3.200467596367745360e-02,2.598612878099703494e+01,-2.509563793843662793e+01,1.352469261705603887e-01,-1.020863361206627129e+00,3.251122305631780340e-02,1.843423025366005413e-02,4.522477366740682596e-08,1.846233885447810431e-05
